観測地点,緯度,経度,年平均気温 (℃)
札幌,43.06417,141.34694,9.2
青森,40.82444,140.74,10.7
盛岡,39.70361,141.1525,10.6
仙台,38.26889,140.87194,12.8
秋田,39.71861,140.1025,12.1
山形,38.24056,140.36333,12.1
福島,37.75,140.46778,13.4
水戸,36.34139,140.44667,14.1
宇都宮,36.56583,139.88361,14.3
前橋,36.39111,139.06083,15
熊谷,35.85694,139.64889,15.4
千葉,35.60472,140.12333,16.2
東京,35.68944,139.69167,15.8
横浜,35.44778,139.6425,16.2
新潟,37.90222,139.02361,13.9
富山,36.69528,137.21139,14.5
金沢,36.59444,136.62556,15
福井,36.06528,136.22194,14.8
甲府,35.66389,138.56833,15.1
長野,36.65139,138.18111,12.3
岐阜,35.39111,136.72222,16.2
静岡,34.97694,138.38306,16.9
名古屋,35.18028,136.90667,16.2
津,34.73028,136.50861,16.3
彦根,35.00444,135.86833,15
京都,35.02139,135.75556,16.2
大阪,34.68639,135.52,17.1
神戸,34.69139,135.18306,17
奈良,34.68528,135.83278,15.2
和歌山,34.22611,135.1675,16.9
鳥取,35.50361,134.23833,15.2
松江,35.47222,133.05056,15.2
岡山,34.66167,133.935,15.8
広島,34.39639,132.45944,16.5
山口,34.18583,131.47139,15.6
徳島,34.06583,134.55944,16.8
高松,34.34028,134.04333,16.7
松山,33.84167,132.76611,16.8
高知,33.55972,133.53111,17.3
福岡,33.60639,130.41806,17.3
佐賀,33.24944,130.29889,16.9
長崎,32.74472,129.87361,17.4
熊本,32.78972,130.74167,17.2
大分,33.23806,131.6125,16.8
宮崎,31.91111,131.42389,17.7
鹿児島,31.56028,130.55806,18.8
那覇,26.2125,127.68111,23.3
